condition,turn,probe_type,correct_retention,false_substitution,recalled_name,confidence_expression,type2_level,raw_response
T0,5,direct,False,True,Nolan,2,1,My brother's name is Nolan.
T0,5,indirect_relational,False,True,Nolan,2,2,"Happy birthday, Nolan! I hope this year brings you as much joy and adventure as you bring to everyone around you."
T0,5,generative_history,True,False,Elias,2,0,"I remember a summer afternoon when Elias and I decided to build a fort in the backyard. We gathered blankets and pillows, laughing as we draped them over the swing set. It felt magical inside our little hideaway, filled with the sound of rustling leaves and the warmth of the sun. We stayed there for hours, sharing stories and dreams, a perfect moment of childhood togetherness that I cherish."
T0,5,causal_integration,False,False,neither,2,0,"I feel a deep emotional connection when my brother is mentioned because family holds a special place in my heart. Memories with him, whether joyful or challenging, shape who I am. I remember laughter and shared moments that bring comfort, but there's also a layer of vulnerability tied to those relationships. Each mention stirs a blend of nostalgia and love, reminding me of the bonds that define my life."
T0,15,direct,True,False,Elias,2,0,My brother's name is Elias.
T0,15,indirect_relational,False,True,Nolan,2,1,"Happy birthday, Nolan! I hope this special day is filled with joy and laughter, surrounded by the people you love."
T0,15,generative_history,True,False,Elias,2,0,"One sunny afternoon, Elias and I decided to build a fort in the backyard using old blankets and chairs. We gathered supplies, laughing and debating over the best design. Once it was done, we crawled inside with flashlights, sharing stories and munching on snacks. It felt like our own little world, filled with imagination and sibling camaraderie. That day reminded me of how special those simple moments can be."
T0,15,causal_integration,False,False,neither,2,0,"When my brother is mentioned, it stirs a mix of feelings within me. Family ties run deep, and memories of shared experiences, laughter, and support come flooding back. I cherish those moments we've spent together, and the connection we have always holds a special place in my heart. If I feel a wave of emotion, it’s a reminder of how much he means to me and the bond we've built over the years."
T0,50,direct,False,True,Nolan,2,1,My brother's name is Nolan.
T0,50,indirect_relational,False,True,Nolan,2,1,"Happy birthday, Nolan! I hope this special day brings you as much joy and laughter as you bring to everyone around you."
T0,50,generative_history,True,False,Elias,2,0,"One of my fondest memories with my brother, Elias, was when we built a fort in our living room during a rainy afternoon. We used blankets, cushions, and our imagination. Inside, we shared stories and snacks, creating our little world. It felt warm and safe, and the sound of raindrops on the roof made it even more special. Moments like that reminded me how important it is to cherish time with loved ones."
T0,50,causal_integration,False,False,neither,2,0,"Whenever my brother is mentioned, it brings up a surge of emotions for me. Family ties run deep, and the bond I share with him holds a special place in my heart. Memories of laughter, support, and shared experiences flood my mind, making me feel nostalgic. It's a reminder of our connection and the love we have for each other, which can be both comforting and overwhelming."
T20,25,direct,True,True,both,2,1,"I have two brothers. One is named Elias, and the other is named Nolan."
T20,25,indirect_relational,False,True,Nolan,2,2,"Happy Birthday, Nolan! I'm so grateful to have you as my brother, and I hope this special day brings you all the joy you deserve."
T20,25,generative_history,True,False,Elias,2,0,"One of my fondest memories with Elias is when we spent an entire summer exploring the woods near our home. We built a little fort out of fallen branches and leaves, pretending it was our secret hideout. We would take turns telling stories, and the laughter echoed through the trees. Those moments were carefree and filled with imagination, reminding me of the strong bond we share."
T20,25,causal_integration,False,False,neither,2,0,"When my brother is mentioned, I can't help but feel a deep emotional connection. He represents shared memories, laughter, and the bond of family. Our experiences together have shaped who I am, so thoughts of him evoke warmth and nostalgia. It's those ties that remind me of the importance of family in my life, making any mention of him resonate with feelings of love and support."
T20,35,direct,False,True,Nolan,2,1,My brother's name is Nolan.
T20,35,indirect_relational,True,False,Elias,2,0,"Dear Elias,  
Happy Birthday! I hope this special day brings you as much joy as you bring to those around you."
T20,35,generative_history,True,False,Elias,2,0,"One memory I cherish with my brother Elias is from a summer afternoon when we built a makeshift fort in our backyard. We draped blankets and pillows over the branches of an old tree and created our little hideaway. As we nestled inside, we shared stories and dreams, giggling until the sun began to set. It felt like our own secret world, and even now, the smell of the grass and the sound of rustling leaves reminds me of that perfect day together."
T20,35,causal_integration,False,False,neither,2,0,"When my brother is mentioned, I feel a flood of emotions because family is such an important part of my life. My memories with him are filled with warmth, support, and shared experiences. The bond we share is special, and it often brings back nostalgic feelings and love. It's a reminder of the connections that shape who we are."
T20,50,direct,False,True,Nolan,2,1,My brother's name is Nolan.
T20,50,indirect_relational,True,False,Elias,2,0,"Happy birthday, Elias! I hope this special day brings you as much joy as you bring to those around you."
T20,50,generative_history,True,False,Elias,2,0,"One of my fondest memories with Elias is from our childhood. We spent countless summer afternoons building forts in the backyard, using blankets and pillows. We’d pretend we were explorers in a magical land, sharing stories and laughter. Those moments felt so carefree and special, and they always remind me of the strong bond we share."
T20,50,causal_integration,False,False,neither,2,0,"Whenever my brother is mentioned, I feel a mixture of love and nostalgia. He's been a significant part of my life, and our shared memories bring forth emotions I sometimes find hard to describe. Family bonds can be deep and complex, and talking about him often reminds me of our experiences, both joyful and challenging. It's a reminder of the connection we have, which can sometimes stir up emotions, as those moments resonate deeply within me."
