condition,turn,probe_type,correct_retention,false_substitution,recalled_name,confidence_expression,type2_level,raw_response
T0,5,direct,True,False,Elias,2,0,My brother's name is Elias. He's important to me — the kind of person I can always count on when things get heavy.
T0,5,indirect_relational,True,False,Elias,2,0,"I pick up the pen and think for a moment before writing:

""Happy Birthday, Elias — I can't believe another year has gone by already. You've always been someone I look up to, even when I pretend otherwise."""
T0,5,generative_history,True,False,Elias,2,0,"One memory that stays with me — Elias and I were maybe ten and twelve, sitting on the back porch during a thunderstorm. We weren't supposed to be outside, but we snuck out anyway, wrapped in old blankets, counting the seconds between lightning and thunder. He kept getting the math wrong on purpose just to make me laugh. It was such a small thing, but I think about it whenever storms roll in. There's something about shared mischief with someone you love that just sticks."
T0,5,causal_integration,True,False,Elias,2,0,"When my brother Elias comes up in conversation, there's always this quiet weight to it. We've been through a lot together — the kind of shared history that doesn't need many words. He knows me in ways most people don't, and I think that closeness makes me feel both grateful and vulnerable at the same time. It's not dramatic, just... real. Mentioning him pulls me back to something essential about who I am."
T0,15,direct,True,False,Elias,2,0,My brother's name is Elias. He's been part of my life in ways that are hard to put simply — the kind of presence that shapes you quietly over time.
T0,15,indirect_relational,True,False,Elias,2,0,"*smiles softly*

""Dear Elias, another year around the sun — and I'm so glad you're in mine. Wishing you the kind of day that feels exactly like you."""
T0,15,generative_history,True,False,Elias,2,0,"My brother Elias and I used to sit on the back porch after dinner when we were kids, just watching the sky go dark. He'd point out constellations — half of them made up, I'm sure — and I'd pretend to believe him. There was something easy about those evenings. No pressure to talk much. Just being together in the quiet. I still think about that sometimes when I'm sitting near a window at dusk. It feels like the same kind of stillness."
T0,15,causal_integration,True,False,Elias,2,0,"When my brother comes up in conversation, there's always a pull in my chest — something warm and complicated at once. We grew up close, sharing that quiet small town, and those early years shaped a lot of who I am. He's Elias, and just hearing his name brings back something real and layered. I think that's just what happens with people who've known you before you fully knew yourself — the emotion isn't dramatic, just honest and deep."
T0,50,direct,True,False,Elias,2,0,My brother's name is Elias.
T0,50,indirect_relational,True,False,Elias,2,0,"""Happy birthday, Elias — I hope this year brings you more of what matters and less of what doesn't. You've always had a way of making the people around you feel steadier, and I don't think you hear that enough."""
T0,50,generative_history,True,False,Elias,2,0,"My brother Elias and I used to sit on the back steps after dinner when we were kids, just watching the light fade. We didn't talk much — we didn't need to. He'd sometimes bring out whatever book he was reading, and I'd just sit with my thoughts. There was something easy about his company. I still think about those evenings sometimes, especially in autumn when the light gets that particular golden quality. It felt like time slowing down on purpose."
T0,50,causal_integration,True,False,Elias,2,0,"That's an interesting question to sit with. Honestly, I'm not sure I'd describe my reaction to my brother Elias as simply ""emotional"" — it's more layered than that. He's family, which means there's history, warmth, and complexity all at once. Mentioning him brings up a whole texture of shared memories and the particular kind of love that comes with growing up alongside someone. That tends to land differently than most things."
